airline_id,airline_code,airline_name,check_in_link,check_in_time
974,EV,ExpressJet,,0
887,EW,Eurowings,https://www.eurowings.com/en/my-trip/checkin.html,24
62,EX,Thai Express Air Co. Ltd,,0
57,EY,Etihad Airways,https://digital.etihad.com/selfservice/en,36
515,EZ,Sun-Air of Scandinavia,,0
496,F0,Fly Jordan,,0
507,F1,Farelogix Qatar Airways,,0
143,F2,Safarilink Aviation,,0
690,F3,Flyadeal,,0
572,F4,Air Flamenco,,0
904,F5,Aerotranscargo,,0
996,F6,fly2sky,,0
1037,F7,iFly Airlines,,0
25,F8,Flair Airlines,,0
406,F9,Frontier Airlines,https://www.flyfrontier.com/travel/my-trips/manage-trip/,24
1088,FA,Safair,https://app.flysafair.co.za/check-in?confirmationNumber={PNR}&bookingLastName={LAST},24
562,FB,Bulgaria Air,https://digital.air.bg/ssci/identification?ln=en&IIdentificationType=PNR&identifier={PNR}&lastName={LAST}&lang=en-GB,24
331,FC,Link Airways,,0
286,FD,Thai AirAsia,https://www.airasia.com/check-in/v2/en/gb,24
1077,FE,Far Eastern Air Transport,,0
24,FF,Airshop B.V.,,0
129,FG,Ariana Afghan Airlines,,0
650,FH,Freebird Airlines,,0
816,FI,Icelandair,https://checkin.si.amadeus.net/static/PRD/FI/#/checkindirect?IIdentificationBookingRef={PNR}&ISurname={LAST}&ln=en,24
602,FJ,Fiji Airways,https://digital.fijiairways.com/fj/ssci/identification?lang=EN,24
1113,FL,Fly Lili,,0
408,FM,Shanghai Airlines,https://us.ceair.com/en/check-in.html,24
60,FN,fastjet,,0
1072,FO,Flybondi,,0
314,FP,Servicios Aéreos de los Andes,,0
208,FQ,Brindabella Airlines,,0
609,FR,Ryanair,https://www.ryanair.com/gb/en/lp/check-in,24
94,FS,FlyArystan,,0
805,FT,FlyEgypt,,0
890,FU,Fuzhou Airlines,,0
122,FV,Rossiya Airlines,https://www.rossiya-airlines.ru/en/,24
1017,FW,Ibex Airlines,,0
202,FX,FedEx,,0
763,FY,Firefly,,0
836,FZ,Flydubai,https://www.flydubai.com/en/flying-with-us/check-in/online-check-in,24
275,G2,Jet Express,,0
111,G3,Gol Transportes Aéreos,https://b2c.voegol.com.br/check-in/,48
315,G4,Allegiant Air,https://www.allegiantair.com/online-checkin,24
696,G5,China Express Airlines,,0
1005,G6,FlyArna,,0
1065,G7,GoJet Airlines,,0
818,G8,Go!,,0
136,G9,Air Arabia,https://webcheckin.airarabia.com/accelaero/en/index.html#/,24
120,GA,Garuda Indonesia,https://checkin.si.amadeus.net/1ASIHSSCMCIGA/sscmga/checkindirect?ln=en&IFormOfIdentification=PNR&IIdentification={PNR}&IDate={DEP_DATE_EU},24
803,GB,ABX Air, Inc.,,0
725,GC,Gambia International Airlines,,0
784,GD,Aviair,,0
861,GE,Lift,,0
978,GF,Gulf Air,https://dxcheckin.gulfair.com/dx/GFCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
870,GG,Sky Lease I, Inc.,,0
125,GH,Globus Airlines,,0
382,GI,Itek Air,,0
1050,GJ,Loong Air,,0
391,GK,Jetstar Japan,https://checkin.jetstar.com/au/en/checkin,48
233,GL,Air Greenland,https://checkin.si.amadeus.net/1ASIHSSCMCIGL/sscmgl/checkindirect?IFormOfIdentification=PNR&ln=en&ISurname={LAST}&IIdentification={PNR},24
971,GM,Chair Airlines,,0
500,GO,ULS Airlines Cargo,,0
869,GP,APG Airlines,,0
909,GQ,Sky Express,,0
1021,GR,Aurigny Air Services,,0
653,GS,Tianjin Airlines,,0
1056,GT,Vista Georgia,,0
706,GU,Aviateca,,0
88,GV,Grant Aviation, Inc.,,0
1029,GW,GetJet,,0
1048,GY,Colorful Guizhou Airlines,,0
577,GZ,Air Rarotonga,,0
926,H1,Hahn Air,,0
476,H2,Sky Airline,https://check-in.skyairline.com/en/unitedstates/,48
183,H4,HiSky,,0
385,H5,CM Airlines,,0
717,H6,Bulgarian Air Charter,,0
348,H7,HiSky,,0
465,H8,Hesa Airlines,,0
538,H9,Himalaya Airlines,,0
281,HA,Hawaiian Airlines,https://checkin.hawaiianairlines.com/,24
657,HB,Asia Atlantic Airlines,,0
186,HC,Aero-Tropics Air Services,https://digital.flyairsenegal.com/ssci/identification?lang=en&identifier={PNR}&lastName={LAST}&program=,24
358,HD,Air Do,,0
203,HE,LGW Luftfahrtgesellschaft Walter,,0
167,HF,Air Côte d'Ivoire,https://checkin.si.amadeus.net/static/PRD/HF/#/checkindirect?ISurname={LAST}&IFormOfIdentification=PNR&IIdentification={PNR}&ln=en,24
438,HG,Niki,,0
539,HH,Qanot Sharq,,0
673,HI,Papillon Airways,,0
81,HJ,Humo Air,,0
1063,HK,Skippers Aviation,,0
501,HM,Air Seychelles,,0
4,HN,Heston Airlines dba Heston Airlines,,0
885,HO,Juneyao Airlines,https://global.juneyaoair.com/seat/list?firstName={FIRST}&lastName={LAST}&certificateNo={PNR},24
788,HP,PopulAir,,0
664,HQ,Thomas Cook Airlines Belgium,,0
211,HR,Hahn Air,,0
40,HS,Héli Sécurité Hélicopter Airline,,0
732,HT,Ningxia Cargo Airlines CO.,LTD,,0
595,HU,Hainan Airlines,https://www.hainanairlines.com/GB/GB/Check-in,24
371,HV,Transavia,https://www.transavia.com/en-UK/my-transavia/check-in/login/,24
531,HW,North-Wright Airways,,0
150,HX,Hong Kong Airlines,https://new.hongkongairlines.com/hxair/ibe/hkaAncillaries/preCheckIn.do?Dst=preCheckIn&market=US&language=en,24
953,HY,Uzbekistan Airways,https://www.uzairways.com/en/online-registration?etktfalse=1&etkt={PNR}&family={LAST},24
454,HZ,Aurora,https://www.aeroflot.ru/sb/ckin/app/ru-en#/search_pnrs,24
366,I2,Iberia Express,https://booking.iberiaexpress.com/myflights/flight-detail/{PNR}/{LAST},24
656,I3,ATA Airlines,,0
1022,I4,Interstate Airlines,,0
755,I5,Air India Express,,0
368,I6,IRYO,,0
142,I8,Izhavia,,0
378,I9,Air Italy,,0
935,IB,Iberia,https://www.iberia.com/gb/online-checkin/?language=en&market=gb#!/ibcose,24
248,ID,Batik Air Indonesia,https://checkin.batikair.com/dx/IDCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
486,IE,Solomon Airlines,,0
267,IG,Air Italy,,0
126,IH,Southern Sky,,0
139,II,IBC Airways,,0
665,IJ,Spring Airlines Japan,,0
117,IK,Air Kiribati Limited,,0
497,IL,PT.Trigana Air Service,,0
178,IM,JSC Aircompany ATMA,,0
72,IN,NAM Air,https://webcheckin.sriwijayaair.co.id/new/,24
752,IO,IrAero,https://iraero.ru/en/check-in/#/search/{PNR}/{LAST}/,24
754,IP,Apsara International Air,,0
566,IQ,Qazaq Air,,0
409,IR,Iran Air,,0
889,IS,Sepehran Airlines,,0
97,IT,Tigerair Taiwan,,0
963,IU,Super Air Jet,,0
173,IW,Wings Air,https://checkin.batikair.com/dx/IWCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
521,IX,Air India Express,https://www.airindiaexpress.com/checkin-home?checked=true,48
